performance_id,date_id,employee_id,store_id,department_id,sales_amount,transactions_processed,items_scanned,avg_scan_time,customers_served,hours_worked,overtime_hours,absences,tardiness,customer_satisfaction_score
28,330,362,32,5,34.73,1,7,2.23,1,8.0,0.0,0,0,
29,295,362,32,5,890.06,10,46,2.01,10,8.0,0.0,0,1,
30,337,362,32,5,445.97999999999996,1,2,3.81,1,8.0,0.0,0,1,
31,346,74,2,1,312.5,20,31,2.47,20,8.0,0.3,1,0,
32,321,74,2,1,720.08,11,44,1.62,11,8.0,0.0,0,0,
33,286,74,2,1,2684.88,1,9,2.5,1,8.0,0.0,0,0,
34,354,74,2,1,835.93,14,38,2.4,14,8.0,0.0,0,0,
35,326,74,2,1,1357.12,1,4,2.89,1,8.0,0.0,0,0,
36,301,74,2,1,872.75,11,27,3.46,11,8.0,0.0,0,0,
37,351,74,2,1,755.51,10,42,2.09,10,8.0,0.0,0,0,
38,319,74,2,1,624.31,13,31,4.86,13,8.0,0.0,0,0,
39,338,74,2,1,349.89,16,21,3.07,16,8.0,0.0,0,0,
40,277,74,2,1,748.13,2,30,2.58,2,8.0,1.0,0,0,
41,279,74,2,1,39.56,17,21,3.86,17,8.0,0.0,0,0,
42,362,74,2,1,813.76,8,35,4.92,8,8.0,0.0,0,0,
43,290,74,2,1,782.86,9,40,2.34,9,8.0,0.0,0,0,
44,305,74,2,1,571.32,16,38,2.88,16,8.0,1.1,0,0,
45,288,74,2,1,753.5,14,23,4.83,14,8.0,0.0,0,0,
46,355,74,2,1,373.42,17,42,1.78,17,8.0,0.0,0,0,
47,349,74,2,1,3706.79,2,16,4.9,2,8.0,0.0,0,0,
48,341,74,2,1,316.29,7,10,2.01,7,8.0,0.0,0,0,
49,360,74,2,1,3732.3,1,10,3.82,1,8.0,0.8,0,0,
50,337,74,2,1,793.11,9,49,2.41,9,8.0,0.0,0,0,
51,296,74,2,1,196.6,3,47,3.89,3,8.0,1.1,0,0,
52,334,74,2,1,49.76,1,2,2.67,1,8.0,0.0,0,0,
53,278,74,2,1,402.14,16,29,3.91,16,8.0,0.0,0,0,
54,299,74,2,1,598.45,16,19,1.69,16,8.0,1.8,0,0,
55,312,74,2,1,820.99,15,17,3.6,15,8.0,0.0,0,1,
56,309,74,2,1,921.02,15,39,1.61,15,8.0,0.0,0,0,
57,330,74,2,1,749.05,1,38,2.35,1,8.0,1.4,0,0,
58,333,74,2,1,406.07,4,45,2.95,4,8.0,0.0,0,0,
59,345,74,2,1,877.63,10,49,4.62,10,8.0,0.0,0,0,
60,331,74,2,1,1827.76,1,8,4.66,1,8.0,1.2,0,1,
61,298,375,1,10,1213.69,199,406,4.08,199,8.0,1.9,0,0,3.2
62,337,375,1,10,4517.38,161,470,3.56,161,8.0,0.0,0,0,3.8
63,276,375,1,10,2018.81,147,363,3.33,147,8.0,0.0,0,0,3.8
64,349,375,1,10,669.53,24,66,2.4,24,8.0,0.4,0,0,4.9
65,334,375,1,10,2423.38,117,293,3.05,117,8.0,0.0,0,0,3.1
66,287,375,1,10,4273.69,35,390,3.04,35,8.0,1.6,0,0,3.3
67,294,375,1,10,1585.3,184,102,3.39,184,8.0,0.2,0,0,3.0
68,333,375,1,10,740.04,1,6,4.21,1,8.0,0.0,0,0,4.2
69,343,375,1,10,2305.43,161,82,3.68,161,8.0,0.0,0,0,3.4
70,339,375,1,10,668.44,167,430,3.84,167,8.0,0.0,0,0,4.2
71,365,375,1,10,1362.13,146,182,2.0,146,8.0,0.0,1,0,3.7
72,293,375,1,10,1683.78,1,9,1.52,1,8.0,0.0,0,0,4.9
73,361,375,1,10,4427.24,171,178,3.4,171,8.0,0.0,0,0,4.3
74,319,375,1,10,1484.6,168,267,4.87,168,8.0,0.0,0,0,4.5
75,331,375,1,10,3336.36,22,403,2.51,22,8.0,0.0,0,0,4.4
76,296,375,1,10,751.06,167,264,3.13,167,8.0,0.0,0,0,3.6
77,358,375,1,10,1052.51,158,369,3.15,158,8.0,0.0,0,0,3.8
78,324,375,1,10,1827.76,1,8,2.58,1,8.0,0.0,0,0,3.2
79,327,375,1,10,906.15,1,5,3.38,1,8.0,0.0,0,0,3.7
80,336,375,1,10,520.99,131,321,3.08,131,8.0,0.0,0,0,3.4
81,300,375,1,10,2563.02,196,93,4.97,196,8.0,0.0,0,0,3.1
82,352,375,1,10,2083.1,124,207,4.35,124,8.0,0.0,0,0,3.9
83,338,375,1,10,2818.32,162,347,3.19,162,8.0,0.0,1,0,3.9
84,362,375,1,10,2235.49,142,189,4.34,142,8.0,0.0,0,0,3.5
85,360,375,1,10,4957.03,155,200,2.6,155,8.0,0.0,0,0,4.5
86,321,375,1,10,2144.13,1,9,2.05,1,8.0,1.0,0,0,3.1
87,291,375,1,10,803.09,165,233,4.12,165,8.0,0.0,0,0,3.4
88,302,375,1,10,1766.38,162,448,4.31,162,8.0,0.0,0,0,3.7
89,316,375,1,10,746.58,85,147,4.06,85,8.0,1.8,0,0,3.4
90,310,375,1,10,1677.48,56,252,4.48,56,8.0,0.0,0,0,3.1
91,351,156,48,8,2951.92,2,9,1.95,2,8.0,0.0,0,0,
92,285,156,48,8,5595.31,20,71,1.95,20,8.0,1.0,1,1,
93,343,156,48,8,131.18,1,1,4.38,1,8.0,0.0,0,0,
94,300,156,48,8,7424.81,6,148,1.62,6,8.0,0.0,0,0,
95,325,156,48,8,19214.98,10,125,3.6,10,8.0,0.0,0,0,
96,329,156,48,8,18805.63,46,145,3.23,46,8.0,0.0,0,0,
97,328,156,48,8,11716.12,15,27,3.24,15,8.0,0.0,0,0,
98,294,156,48,8,1123.08,1,3,3.77,1,8.0,1.6,0,0,
99,281,156,48,8,11775.16,35,180,3.49,35,8.0,0.3,1,0,
100,302,156,48,8,18857.01,33,115,3.36,33,8.0,0.0,0,1,
101,317,156,48,8,18723.86,17,107,2.41,17,8.0,0.0,0,1,
102,342,156,48,8,996.0500000000002,2,17,3.49,2,8.0,0.0,0,0,
103,355,156,48,8,3477.0,1,10,4.08,1,8.0,0.0,0,0,
104,296,156,48,8,179.31,1,8,2.4,1,8.0,0.4,0,0,
105,335,156,48,8,10284.13,19,117,2.57,19,8.0,0.0,0,0,
106,312,156,48,8,11418.75,41,175,4.0,41,8.0,0.0,0,0,
107,289,156,48,8,5606.43,32,178,4.85,32,8.0,0.6,0,0,
108,363,156,48,8,414.74,1,1,2.64,1,8.0,0.8,0,0,
109,357,156,48,8,1869.5,1,10,4.08,1,8.0,0.0,0,0,
110,277,156,48,8,3432.4,1,8,3.96,1,8.0,0.0,1,0,
111,337,156,48,8,7123.04,13,68,3.94,13,8.0,0.0,0,0,
112,362,156,48,8,15464.44,19,148,3.13,19,8.0,0.0,0,0,
113,278,156,48,8,13244.19,20,188,2.34,20,8.0,0.0,0,0,
114,318,156,48,8,1216.47,3,12,2.3,3,8.0,0.0,0,0,
115,287,156,48,8,15143.36,23,74,4.13,23,8.0,0.0,0,0,
116,324,156,48,8,18164.97,25,119,3.97,25,8.0,0.0,0,0,
117,283,156,48,8,15544.67,5,74,4.25,5,8.0,0.0,0,0,
118,301,156,48,8,7347.09,23,108,4.7,23,8.0,0.0,0,0,
119,361,156,48,8,13942.65,35,174,4.93,35,8.0,0.0,0,0,
120,288,156,48,8,15552.69,45,193,3.52,45,8.0,0.0,0,0,
121,356,105,8,2,3015.59,115,471,1.86,115,4.9,1.3,0,0,4.9
122,276,105,8,2,1433.67,162,491,4.19,162,5.7,0.0,0,0,4.2
123,350,105,8,2,4532.44,188,264,2.57,188,5.6,0.0,0,0,4.5
124,282,105,8,2,1843.6799999999998,1,6,2.45,1,5.0,0.0,0,0,4.4
125,321,105,8,2,3514.2,55,440,3.36,55,5.7,0.0,0,0,3.5
126,285,105,8,2,4993.74,25,482,2.19,25,4.1,0.0,0,1,4.8
127,329,105,8,2,685.68,1,2,2.21,1,4.4,0.0,0,0,3.0
128,341,105,8,2,4521.32,200,455,2.91,200,4.4,0.0,0,0,4.2
129,357,105,8,2,1064.5500000000002,1,5,3.7,1,5.9,0.8,0,0,3.3
130,306,105,8,2,971.1200000000001,2,4,2.63,2,5.9,0.0,0,0,3.3
131,344,105,8,2,1713.17,168,144,3.65,168,6.9,0.0,0,0,4.4
132,312,105,8,2,2806.8,148,65,1.65,148,5.6,0.5,0,0,3.8
133,283,105,8,2,2121.96,58,392,2.78,58,4.3,0.0,0,0,4.2
134,333,105,8,2,1354.71,1,3,2.91,1,4.6,0.0,0,1,3.9
135,280,105,8,2,3103.69,193,98,2.3,193,4.7,0.0,0,0,4.5
136,346,105,8,2,2400.65,127,65,4.69,127,4.2,0.0,0,0,3.1
137,337,105,8,2,1506.38,181,414,2.95,181,4.6,0.0,0,0,3.5
138,300,105,8,2,3716.39,99,249,2.08,99,4.2,0.0,0,0,3.2
139,301,105,8,2,4696.64,97,96,2.75,97,6.2,0.0,0,0,3.9
140,296,105,8,2,4255.4,176,85,3.16,176,4.1,0.0,0,0,3.9
141,353,105,8,2,1609.48,129,440,3.03,129,6.0,0.0,0,0,3.3
142,342,105,8,2,1139.37,1,5,2.34,1,4.9,0.0,0,0,4.8
143,288,105,8,2,1713.87,117,328,1.74,117,5.8,0.0,0,0,4.6
144,363,105,8,2,1480.07,136,206,4.75,136,6.3,0.0,0,0,4.4
145,315,105,8,2,2806.6,47,395,4.01,47,5.4,0.0,0,0,5.0
146,359,105,8,2,3852.72,114,456,3.16,114,5.7,0.0,0,0,4.8
147,277,105,8,2,2848.32,1,6,2.44,1,6.1,0.0,0,0,4.6
148,324,105,8,2,1939.87,98,413,2.46,98,5.6,0.0,0,0,3.3
149,287,105,8,2,772.47,184,269,4.38,184,6.5,0.0,0,0,3.3
150,292,105,8,2,2558.17,177,316,1.88,177,5.8,0.0,0,0,3.2
151,292,395,3,6,602.54,75,177,1.68,75,8.0,0.0,0,0,3.5
152,354,395,3,6,2589.64,64,241,2.59,64,8.0,0.0,0,0,4.4
153,310,395,3,6,4589.8,67,484,3.05,67,8.0,0.0,0,0,4.6
154,326,395,3,6,919.4,189,435,4.28,189,8.0,0.0,0,0,3.6
155,276,395,3,6,2703.25,130,216,2.87,130,8.0,0.0,0,0,4.2
156,327,395,3,6,660.19,167,205,2.68,167,8.0,2.0,0,0,3.4
157,287,395,3,6,3841.0,78,284,2.38,78,8.0,0.0,0,0,3.5
158,324,395,3,6,2725.93,120,203,2.23,120,8.0,0.0,0,0,3.9
159,289,395,3,6,3981.07,194,367,4.57,194,8.0,0.0,0,0,4.3
160,334,395,3,6,3770.86,125,194,4.71,125,8.0,0.0,0,0,3.9
161,356,395,3,6,729.63,125,272,4.91,125,8.0,0.0,0,0,3.7
162,355,395,3,6,809.49,162,85,1.83,162,8.0,0.0,0,0,3.3
163,301,395,3,6,2863.6,140,459,2.63,140,8.0,0.0,1,0,4.6
164,364,395,3,6,860.57,24,477,3.16,24,8.0,0.0,0,0,4.6
165,299,395,3,6,821.6999999999999,1,3,4.25,1,8.0,0.0,0,0,4.3
166,323,395,3,6,3523.95,87,94,1.93,87,8.0,0.0,0,0,3.1
167,342,395,3,6,741.69,92,202,4.61,92,8.0,0.0,0,0,4.2
168,344,395,3,6,2958.05,28,389,4.53,28,8.0,0.0,0,1,3.1
169,304,395,3,6,2465.37,103,425,3.28,103,8.0,0.0,0,1,3.2
170,295,395,3,6,4603.56,194,497,4.75,194,8.0,0.0,0,0,3.2
171,357,395,3,6,587.92,88,343,2.85,88,8.0,0.3,0,0,3.1
172,282,395,3,6,2150.79,2,5,1.95,2,8.0,0.0,0,0,4.9
173,308,395,3,6,1104.25,169,348,4.29,169,8.0,1.3,0,0,3.4
174,332,395,3,6,4018.47,129,470,3.2,129,8.0,0.0,0,0,4.5
175,298,395,3,6,53.410000000000004,1,1,4.13,1,8.0,0.0,0,0,4.9
176,288,395,3,6,4024.73,20,121,3.54,20,8.0,0.0,0,1,3.3
177,278,395,3,6,365.48,1,1,2.79,1,8.0,0.0,0,0,3.4
178,281,395,3,6,347.95,1,1,4.49,1,8.0,1.0,0,0,4.2
179,353,395,3,6,763.3699999999999,1,9,2.02,1,8.0,0.0,0,0,4.1
180,347,395,3,6,4422.53,72,195,1.74,72,8.0,0.0,0,0,4.8
181,339,378,3,3,11480.19,21,38,3.39,21,6.3,0.0,0,0,
182,295,378,3,3,17083.6,40,125,3.25,40,6.9,0.0,0,0,
183,318,378,3,3,15837.89,20,166,4.76,20,6.8,0.0,0,0,
184,342,378,3,3,359.02,1,1,4.76,1,4.2,0.0,0,0,
185,285,378,3,3,16429.26,25,111,4.38,25,4.2,0.0,0,0,
186,352,378,3,3,112.14999999999999,1,2,1.52,1,5.5,0.0,0,0,
187,350,378,3,3,16801.48,15,120,4.29,15,6.6,0.0,0,0,
188,345,378,3,3,10296.77,47,81,2.78,47,6.3,0.0,0,0,
189,300,378,3,3,17570.52,14,164,4.14,14,6.7,1.9,0,0,
190,351,378,3,3,16372.63,26,184,1.91,26,5.3,0.0,0,0,
191,279,378,3,3,9342.26,25,72,2.17,25,4.7,0.5,0,0,
192,353,378,3,3,8438.83,49,152,3.22,49,5.9,1.9,0,0,
193,284,378,3,3,9964.08,35,147,3.38,35,5.2,0.0,0,0,
194,301,378,3,3,11636.63,32,84,4.06,32,5.8,0.0,0,0,
195,324,378,3,3,17512.36,42,59,4.29,42,6.0,0.0,0,0,
196,283,378,3,3,6199.06,22,143,4.54,22,5.6,0.0,0,0,
197,330,378,3,3,308.6,1,1,4.55,1,6.9,0.0,0,0,
198,277,378,3,3,7731.91,9,192,2.16,9,5.2,0.0,0,0,
199,298,378,3,3,14435.31,26,147,3.54,26,6.7,0.7,0,1,
200,328,378,3,3,19893.17,5,42,1.56,5,6.5,0.0,0,0,
201,303,378,3,3,6897.74,14,71,3.0,14,4.8,0.0,0,0,
202,343,378,3,3,6357.99,25,72,3.72,25,5.7,0.0,0,0,
203,315,378,3,3,6888.31,34,180,4.81,34,5.4,0.0,0,0,
204,314,378,3,3,11536.56,8,103,3.46,8,6.5,0.0,0,1,
205,331,378,3,3,5585.53,45,93,1.67,45,5.8,0.0,0,0,
206,322,378,3,3,15631.97,37,91,3.21,37,6.2,2.0,0,1,
207,327,378,3,3,18501.47,30,140,1.8,30,4.5,0.0,0,0,
208,296,378,3,3,8960.93,49,161,3.37,49,4.5,0.0,0,0,
209,312,378,3,3,19979.95,11,140,1.95,11,5.8,0.0,0,0,
210,338,378,3,3,5401.83,18,178,3.04,18,5.6,1.4,0,0,
211,294,125,5,2,18024.95,30,80,2.06,30,4.3,0.0,0,0,
212,334,125,5,2,10983.63,27,135,1.91,27,6.2,0.0,0,0,
213,332,125,5,2,17211.99,19,114,3.76,19,7.0,0.0,0,0,
214,339,125,5,2,11157.65,31,109,1.73,31,5.9,1.6,0,0,
215,352,125,5,2,11419.43,32,115,1.88,32,4.8,0.6,0,0,
216,284,125,5,2,7516.12,9,198,4.49,9,4.2,0.0,0,0,
217,311,125,5,2,2988.0,1,9,3.96,1,6.2,0.0,0,0,
218,291,125,5,2,11566.94,29,135,1.79,29,5.9,1.8,0,0,
219,290,125,5,2,8730.26,11,116,2.46,11,6.4,0.0,0,0,
220,279,125,5,2,13509.2,44,180,3.59,44,6.0,0.9,0,0,
221,286,125,5,2,7628.32,45,188,2.24,45,5.7,0.0,0,0,
222,325,125,5,2,17231.83,44,156,4.15,44,6.1,0.0,0,0,
223,321,125,5,2,9408.13,37,103,1.86,37,6.1,1.6,0,0,
224,322,125,5,2,17683.94,16,87,2.4,16,6.5,0.0,0,0,
225,337,125,5,2,699.58,1,9,3.84,1,6.4,0.9,0,0,
226,348,125,5,2,16205.04,41,26,3.53,41,5.2,0.0,0,0,
227,342,125,5,2,16948.89,33,146,2.12,33,5.1,1.8,0,0,
228,343,125,5,2,13391.59,36,114,4.65,36,6.7,0.0,0,0,
229,320,125,5,2,8216.08,10,35,3.96,10,4.3,0.0,0,0,
230,302,125,5,2,11357.17,39,42,2.0,39,6.1,0.0,0,1,
231,277,125,5,2,7707.14,12,79,4.03,12,5.7,0.0,0,0,
232,326,125,5,2,18963.23,6,162,1.73,6,6.4,0.0,0,0,
233,319,125,5,2,13378.89,12,63,4.33,12,4.5,0.0,0,0,
234,359,125,5,2,11907.1,15,29,2.73,15,5.7,0.0,0,0,
235,305,125,5,2,8461.39,21,50,2.07,21,4.8,0.0,1,0,
236,331,125,5,2,13262.35,48,71,3.23,48,4.9,0.7,0,1,
237,364,125,5,2,14478.41,33,187,3.97,33,5.8,0.0,0,0,
238,355,125,5,2,5092.38,12,170,3.61,12,6.4,0.0,0,0,
239,350,125,5,2,17042.53,37,26,3.88,37,4.0,1.1,0,1,
240,353,125,5,2,10522.93,45,180,4.79,45,6.8,0.0,0,0,
241,353,69,47,5,7919.39,29,186,4.04,29,6.6,0.0,0,0,
242,344,69,47,5,10063.39,12,133,3.04,12,6.0,0.0,0,0,
243,335,69,47,5,17294.83,20,127,3.8,20,5.7,0.4,0,0,
244,318,69,47,5,15698.44,45,26,4.38,45,5.3,0.0,0,0,
245,360,69,47,5,13471.34,44,172,2.17,44,4.3,0.0,0,0,
246,300,69,47,5,16514.18,7,165,2.9,7,6.5,0.9,0,1,
247,317,69,47,5,9493.26,45,134,3.86,45,6.3,0.0,0,0,
248,308,69,47,5,13059.44,43,66,2.72,43,6.4,0.0,0,1,
249,279,69,47,5,19004.38,29,99,2.19,29,4.9,0.0,0,0,
250,356,69,47,5,15558.5,16,33,2.39,16,5.8,0.0,0,1,
251,299,69,47,5,10838.94,15,186,2.24,15,5.9,0.0,0,0,
252,364,69,47,5,12124.06,36,124,2.67,36,5.6,0.0,0,0,
253,340,69,47,5,16353.68,50,39,3.84,50,6.7,0.0,0,0,
254,282,69,47,5,12234.31,38,109,4.36,38,5.4,1.2,0,0,
255,329,69,47,5,9165.48,20,161,1.59,20,6.9,1.4,0,0,
256,310,69,47,5,8732.33,29,140,3.58,29,6.5,0.0,0,0,
257,345,69,47,5,10803.53,10,135,1.59,10,5.6,0.0,0,1,
258,350,69,47,5,19692.59,19,159,4.89,19,4.3,1.5,0,0,
259,307,69,47,5,10651.57,7,36,3.88,7,4.0,0.3,0,0,
260,333,69,47,5,19478.96,5,185,3.58,5,5.5,0.0,0,0,
261,306,69,47,5,6591.92,50,127,3.84,50,5.3,0.0,0,0,
262,315,69,47,5,19893.09,40,128,4.25,40,4.6,0.0,0,0,
263,298,69,47,5,6430.74,8,92,2.51,8,5.0,0.0,0,0,
264,312,69,47,5,6348.7,22,131,3.14,22,4.3,0.0,0,1,
265,304,69,47,5,14470.71,49,42,4.19,49,5.5,0.0,0,0,
266,281,69,47,5,13836.2,47,168,3.08,47,5.6,0.0,0,0,
267,297,69,47,5,19660.11,38,61,1.6,38,4.6,0.0,0,0,
268,348,69,47,5,5522.77,11,195,3.0,11,6.0,0.0,0,0,
269,292,69,47,5,11817.81,27,143,4.57,27,6.5,0.0,0,0,
270,301,69,47,5,15051.62,34,128,3.27,34,4.8,0.0,0,0,
271,346,451,50,10,12392.01,6,116,3.24,6,6.1,0.0,0,0,
272,280,451,50,10,17693.45,13,180,3.5,13,5.5,0.0,0,0,
273,283,451,50,10,952.6999999999999,1,10,3.37,1,5.9,0.0,0,0,
274,306,451,50,10,7714.39,26,70,3.8,26,5.5,0.0,0,1,
275,304,451,50,10,1272.8899999999999,1,8,3.73,1,4.9,0.0,0,0,
276,358,451,50,10,17874.6,50,169,4.24,50,4.6,1.9,0,0,
277,307,451,50,10,12056.03,26,75,3.05,26,5.2,0.0,0,0,
278,357,451,50,10,16036.86,42,105,4.62,42,4.0,0.0,0,0,
279,294,451,50,10,10103.65,9,158,2.1,9,5.7,0.0,0,0,
280,297,451,50,10,8614.87,35,66,2.95,35,4.5,0.0,0,1,
281,329,451,50,10,8774.84,43,113,2.0,43,4.5,0.0,1,0,
282,325,451,50,10,493.36,1,4,1.52,1,4.6,0.0,0,0,
283,344,451,50,10,7664.89,11,52,4.45,11,6.1,0.0,0,0,
284,336,451,50,10,1286.39,1,7,3.15,1,6.8,0.0,0,1,
285,295,451,50,10,9707.59,32,108,1.6,32,6.1,0.0,0,1,
286,303,451,50,10,6006.3,43,86,4.33,43,5.3,0.0,0,0,
287,337,451,50,10,6276.43,20,25,1.92,20,5.1,0.0,0,0,
288,323,451,50,10,7104.48,34,31,3.85,34,5.9,0.0,0,0,
289,290,451,50,10,11757.98,23,30,4.42,23,6.6,1.7,0,1,
290,282,451,50,10,13521.49,46,97,1.68,46,5.5,0.0,0,1,
291,324,451,50,10,15586.83,36,94,4.44,36,6.4,1.6,0,0,
292,350,451,50,10,273.64,1,1,1.56,1,4.4,0.0,0,0,
293,352,451,50,10,12364.73,38,31,4.3,38,5.3,0.0,0,0,
294,285,451,50,10,6287.68,11,167,2.09,11,5.4,0.0,0,0,
295,363,451,50,10,543.41,2,6,3.61,2,6.0,0.0,0,0,
296,293,451,50,10,236.49,1,9,3.92,1,4.4,0.2,0,0,
297,353,451,50,10,13839.76,23,139,2.55,23,4.6,0.0,0,0,
298,298,451,50,10,16683.82,45,144,4.75,45,6.2,0.0,0,0,
299,331,451,50,10,15212.88,39,171,4.08,39,5.2,0.0,0,0,
300,341,451,50,10,18456.35,26,91,4.0,26,6.1,0.0,0,1,
301,352,10,10,1,17102.49,50,130,1.91,50,8.0,0.0,0,0,
302,363,10,10,1,11504.59,24,99,4.12,24,8.0,0.0,0,0,
303,339,10,10,1,8944.52,46,178,2.38,46,8.0,0.9,0,0,
304,316,10,10,1,5177.22,8,75,1.85,8,8.0,0.3,0,0,
305,319,10,10,1,14197.05,30,99,4.28,30,8.0,0.0,0,0,
306,332,10,10,1,1962.92,1,4,2.89,1,8.0,0.0,0,0,
307,357,10,10,1,11571.93,10,177,1.77,10,8.0,0.9,0,0,
308,300,10,10,1,8930.88,17,30,4.35,17,8.0,0.0,0,0,
309,331,10,10,1,8638.09,28,64,2.88,28,8.0,0.0,0,0,
310,364,10,10,1,8888.01,49,149,3.65,49,8.0,0.5,0,0,
311,365,10,10,1,2092.9,1,10,2.48,1,8.0,0.0,0,0,
312,337,10,10,1,5132.41,21,85,1.76,21,8.0,0.0,0,0,
313,308,10,10,1,15765.36,47,88,3.64,47,8.0,0.0,0,0,
314,320,10,10,1,19091.0,39,152,3.65,39,8.0,0.0,0,0,
315,311,10,10,1,16470.86,45,186,2.96,45,8.0,0.0,0,0,
316,356,10,10,1,13326.93,14,90,1.88,14,8.0,0.0,0,0,
317,340,10,10,1,129.22,1,7,2.92,1,8.0,0.0,1,0,
318,344,10,10,1,5237.02,45,29,4.97,45,8.0,0.0,0,0,
319,305,10,10,1,1604.9,1,5,4.04,1,8.0,0.0,0,0,
320,329,10,10,1,15501.18,50,148,3.17,50,8.0,0.0,0,0,
321,341,10,10,1,5327.87,33,33,2.84,33,8.0,0.0,0,0,
322,360,10,10,1,10380.45,19,26,1.73,19,8.0,0.0,0,0,
323,323,10,10,1,772.28,2,12,3.0,2,8.0,0.0,0,0,
324,315,10,10,1,19529.24,35,192,1.54,35,8.0,0.0,0,0,
325,289,10,10,1,17624.65,6,184,1.71,6,8.0,0.0,0,0,
326,293,10,10,1,9057.07,36,120,2.2,36,8.0,0.0,0,0,
327,342,10,10,1,13173.68,16,113,4.86,16,8.0,0.0,0,0,
328,338,10,10,1,33.2,1,4,4.85,1,8.0,0.0,0,0,
329,348,10,10,1,15276.42,17,102,1.61,17,8.0,0.0,0,0,
330,321,10,10,1,11801.28,27,32,2.92,27,8.0,0.0,0,0,
331,309,195,16,1,24.97,10,32,4.49,10,4.5,0.0,0,1,
332,338,195,16,1,300.18,14,23,4.03,14,6.0,0.0,0,0,
333,361,195,16,1,989.03,5,7,4.34,5,4.2,0.0,0,0,
334,323,195,16,1,2440.7699999999995,2,13,3.0,2,4.2,0.0,0,0,
335,281,195,16,1,512.97,1,5,4.21,1,6.9,0.0,0,0,
336,316,195,16,1,691.55,11,8,3.85,11,4.8,0.0,0,1,
337,341,195,16,1,694.75,2,11,4.49,2,4.1,1.0,0,0,
338,304,195,16,1,790.6900000000002,1,5,1.78,1,4.5,0.0,0,1,
339,318,195,16,1,889.5,3,36,1.65,3,6.9,0.5,0,1,
340,322,195,16,1,454.11,18,38,3.49,18,4.6,0.0,0,0,
341,285,195,16,1,969.63,8,1,4.49,8,6.8,0.0,0,0,
342,280,195,16,1,432.6,20,49,3.68,20,4.6,0.0,0,1,
343,352,195,16,1,424.69,10,23,3.16,10,6.3,0.0,0,0,
344,279,195,16,1,300.66,14,26,4.85,14,4.3,0.0,0,0,
345,297,195,16,1,5377.34,2,16,4.38,2,4.9,0.0,0,1,
346,311,195,16,1,589.42,18,48,1.86,18,6.3,0.0,0,0,
347,342,195,16,1,250.25,19,29,3.74,19,5.3,0.0,0,0,
348,321,195,16,1,210.35,3,31,2.77,3,6.6,0.0,0,0,
349,301,195,16,1,869.82,14,50,4.09,14,4.3,0.0,0,0,
350,355,195,16,1,274.98,14,49,4.33,14,4.8,0.1,0,1,
351,335,195,16,1,360.45,5,15,4.71,5,4.4,0.0,0,0,
352,319,195,16,1,923.92,4,19,4.12,4,5.8,0.0,0,0,
353,317,195,16,1,5962.42,3,17,1.96,3,4.6,0.0,0,0,
354,348,195,16,1,244.73,16,7,3.78,16,6.3,1.2,0,0,
355,320,195,16,1,567.27,12,22,2.22,12,6.2,0.0,0,0,
356,293,195,16,1,628.38,4,43,3.3,4,5.4,0.9,0,1,
357,345,195,16,1,32.83,12,0,0.0,12,4.6,0.0,0,0,
358,334,195,16,1,1004.61,1,3,4.16,1,4.3,0.0,0,1,
