po_id,date_id,store_id,supplier_id,product_id,employee_id,po_number,po_status,quantity_ordered,unit_cost,total_cost,expected_delivery_date,actual_delivery_date,is_emergency_order,lead_time_days,shipping_cost
20,226,49,77,558,49,PO-Fwnngd-93971523,In Transit,128,293.67,37589.76,2024-08-15,,False,2,338.14
21,128,44,54,341,64,PO-SjNbFq-56221093,Canceled,95,175.44,16666.8,2024-05-20,,False,13,379.9
22,157,38,92,430,188,PO-smZMjt-77457643,Partially Delivered,186,145.39,27042.54,2024-06-13,2024-06-18,False,8,165.65
23,57,20,9,951,174,PO-wZCMTC-69559236,In Transit,93,234.67,21824.31,2024-03-19,,False,22,128.9
24,19,5,70,305,125,PO-dMQHWK-12237174,In Transit,166,175.19,29081.54,2024-01-28,,False,9,365.42
25,111,26,32,987,26,PO-qGgDxZ-25896508,Ordered,193,208.6,40259.8,2024-04-21,,False,1,363.4
26,353,23,16,155,460,PO-wLBsFD-39206026,Ordered,24,235.88,5661.12,2025-01-15,,False,28,451.4
27,362,8,62,757,167,PO-fNAmKN-79514096,In Transit,28,116.89,3272.92,2025-01-15,,False,19,194.25
28,21,26,71,523,389,PO-LMwnuw-35610026,Ordered,123,132.35,16279.05,2024-01-22,,False,1,449.17
29,121,45,100,411,311,PO-jJGPGi-02150055,Delivered,16,145.57,2329.12,2024-05-25,2024-05-28,False,25,419.27
30,294,46,47,415,323,PO-yplLUC-31555794,Canceled,40,288.09,11523.6,2024-11-03,,False,14,430.69
31,100,16,94,869,349,PO-ngoMpY-08101895,Ordered,165,217.13,35826.45,2024-04-16,,False,7,399.97
32,50,23,11,522,322,PO-ROocnK-04647092,Delivered,62,218.2,13528.4,2024-02-25,2024-02-23,False,6,85.35
33,354,14,71,157,14,PO-FEIrkj-82716296,Ordered,45,167.47,7536.15,2024-12-20,,False,1,271.86
34,214,2,37,664,2,PO-HTZyuw-57331946,In Transit,86,72.49,6234.14,2024-08-11,,False,10,139.03
35,147,3,63,840,3,PO-msocjo-71356722,In Transit,10,180.42,1804.2,2024-06-05,,False,10,68.56
36,167,48,10,400,156,PO-SjiULL-63935813,Canceled,54,1.64,88.56,2024-07-11,,False,26,201.93
37,65,38,14,882,38,PO-IfYSSA-93665577,In Transit,55,244.25,13433.75,2024-03-06,,True,1,650.92
38,12,44,12,246,350,PO-zUaSYn-04417164,Canceled,78,237.22,18503.16,2024-01-15,,True,3,428.48
39,186,38,4,371,414,PO-LPPomH-14502839,Delivered,157,46.75,7339.75,2024-07-09,2024-07-12,False,5,142.47
40,6,23,49,475,257,PO-lWWxXB-45632276,Canceled,171,83.48,14275.08,2024-01-15,,False,9,151.47
41,226,14,19,499,14,PO-UJpqMD-05982803,Ordered,113,36.25,4096.25,2024-09-04,,False,22,197.87
42,116,7,27,807,191,PO-KwHUgG-26568909,In Transit,96,52.61,5050.56,2024-05-16,,False,21,471.68
43,303,45,29,712,45,PO-vvUzqc-79206057,Partially Delivered,157,2.81,441.17,2024-11-13,2024-11-13,False,15,407.38
44,265,19,80,601,19,PO-rARmDf-20067553,Partially Delivered,170,206.16,35047.2,2024-10-15,2024-10-13,False,24,360.75
45,203,48,21,605,48,PO-xuSRzW-64033185,Ordered,183,204.65,37450.95,2024-08-06,,False,16,273.64
46,289,42,95,149,42,PO-LsMGrr-05580370,Canceled,183,246.99,45199.17,2024-11-04,,False,20,113.34
47,284,33,31,126,33,PO-XaTpRF-08536410,Delivered,121,198.0,23958.0,2024-11-01,2024-10-30,False,22,363.73
48,74,42,12,778,390,PO-LMCiau-81298376,Canceled,57,175.71,10015.47,2024-03-20,,False,6,147.23
49,363,26,12,246,26,PO-VwLiGv-48016445,Partially Delivered,164,209.15,34300.6,2024-12-31,2024-12-29,True,3,526.7
50,147,1,87,295,1,PO-cNVPIW-80976624,Delivered,98,148.78,14580.44,2024-06-21,2024-06-24,False,26,405.73
51,322,45,74,818,45,PO-qAksRY-04920859,Ordered,124,39.27,4869.48,2024-12-09,,False,22,301.63
52,280,37,72,320,37,PO-VtfHVA-47053413,Canceled,76,48.85,3712.6,2024-10-25,,False,19,174.91
53,141,47,95,149,69,PO-vpqBqb-03045647,Ordered,29,320.41,9291.89,2024-06-09,,False,20,278.58
54,78,19,32,865,19,PO-oskFHO-78435509,Canceled,128,98.24,12574.72,2024-03-18,,True,0,552.76
55,40,48,49,696,48,PO-IWErWh-84895273,Canceled,183,23.88,4370.04,2024-02-18,,False,9,321.96
56,106,40,34,691,40,PO-ULIiEc-65376171,Canceled,53,177.33,9398.49,2024-05-11,,False,26,458.5
57,152,39,20,905,296,PO-RrMjMz-68718960,In Transit,83,11.58,961.14,2024-06-08,,False,8,344.96
58,142,41,19,405,41,PO-hJvuEs-76615988,In Transit,81,166.34,13473.54,2024-06-12,,False,22,330.11
59,180,25,96,373,275,PO-jvPVuB-61973816,Ordered,130,267.84,34819.2,2024-07-07,,False,9,59.42
60,253,37,65,85,37,PO-PZvbPI-85955788,In Transit,121,278.96,33754.16,2024-09-14,,True,5,598.28
61,357,2,12,630,2,PO-szJtUK-14125596,Canceled,158,117.07,18497.06,2024-12-28,,False,6,353.63
62,312,46,54,676,442,PO-qhGSha-81183525,In Transit,179,179.83,32189.57,2024-11-20,,False,13,260.55
63,254,24,84,948,212,PO-boNDON-48455690,Delivered,143,159.75,22844.25,2024-10-09,2024-10-11,False,29,413.26
64,181,44,29,712,64,PO-jKKWPV-67801105,Delivered,45,2.56,115.2,2024-07-14,2024-07-19,False,15,99.74
65,260,25,49,387,385,PO-PMnCrv-28414534,Partially Delivered,160,218.0,34880.0,2024-09-25,2024-09-25,False,9,318.02
66,151,50,61,124,78,PO-HIFMzN-49263781,In Transit,190,178.81,33973.9,2024-06-11,,False,12,182.45
67,278,32,49,52,32,PO-fZLSJg-48060099,Canceled,194,192.65,37374.1,2024-10-13,,False,9,243.46
68,302,12,38,784,454,PO-GyQszB-28044321,Ordered,42,159.56,6701.52,2024-11-19,,False,22,104.18
69,319,16,11,348,349,PO-phnCNq-46038140,Ordered,140,29.55,4137.0,2024-11-20,,False,6,489.51
70,144,16,39,525,470,PO-Shkerl-35141019,In Transit,121,302.01,36543.21,2024-06-10,,False,18,444.51
71,89,14,42,873,14,PO-WPvvNz-96070277,In Transit,34,61.2,2080.8,2024-04-13,,False,15,177.88
72,222,3,83,302,111,PO-dbbpxT-17544028,Partially Delivered,158,126.04,19914.32,2024-09-07,2024-09-08,False,29,262.95
73,302,17,72,462,17,PO-KnxgEu-21248777,Partially Delivered,142,270.38,38393.96,2024-11-06,2024-11-04,True,9,349.96
74,233,5,96,373,5,PO-yortgz-12360224,Delivered,117,236.88,27714.96,2024-08-29,2024-08-27,False,9,85.34
75,126,41,16,155,55,PO-NAXTBF-60894130,In Transit,42,262.96,11044.32,2024-06-02,,False,28,184.87
76,170,18,96,373,396,PO-QBMwrH-75484790,Partially Delivered,189,214.22,40487.58,2024-06-27,2024-07-01,False,9,178.56
77,350,32,14,345,343,PO-kJBQsH-77992222,Delivered,151,294.89,44528.39,2024-12-18,2024-12-18,False,3,372.51
78,361,27,3,940,27,PO-GZvteV-33120711,In Transit,190,191.01,36291.9,2025-01-09,,False,14,364.8
79,64,45,89,606,255,PO-QNkwuT-39172178,Ordered,14,147.32,2062.48,2024-03-24,,False,20,179.61
80,192,39,87,789,39,PO-kJXafa-91482485,Partially Delivered,188,107.57,20223.16,2024-08-05,2024-08-10,False,26,309.16
81,304,5,72,810,5,PO-fAfSaG-59405042,In Transit,106,238.83,25315.98,2024-11-18,,False,19,454.19
82,131,44,51,191,44,PO-szirNk-17205886,Delivered,190,43.36,8238.4,2024-06-07,2024-06-10,False,28,473.67
83,333,26,36,808,389,PO-sypbxS-11691860,Partially Delivered,78,111.09,8665.02,2024-12-27,2024-12-26,False,29,427.98
84,25,19,29,677,363,PO-vThmSr-54747640,Partially Delivered,145,139.25,20191.25,2024-02-01,2024-02-02,True,7,228.69
85,321,6,34,1000,445,PO-jmYXcB-93635440,Partially Delivered,67,190.88,12788.96,2024-12-12,2024-12-16,False,26,387.17
86,192,5,63,32,5,PO-WyhVpB-08775344,Delivered,43,145.82,6270.26,2024-07-20,2024-07-25,False,10,233.39
87,343,13,82,743,147,PO-inTQRD-39234570,Canceled,36,172.3,6202.8,2025-01-04,,False,27,268.08
88,104,35,40,158,35,PO-NzQtSe-03803054,Ordered,186,256.6,47727.6,2024-04-19,,False,6,164.84
89,312,30,37,664,177,PO-QNUjSt-54101952,Ordered,111,74.27,8243.97,2024-11-17,,False,10,369.19
90,198,6,12,273,6,PO-gaCTHU-94641779,Canceled,181,315.94,57185.14,2024-07-22,,False,6,123.55
91,346,45,58,377,45,PO-yGenTV-80525359,In Transit,55,252.13,13867.15,2024-12-19,,False,8,128.8
92,349,20,56,134,20,PO-JYUZAk-67677644,Canceled,35,38.71,1354.85,2024-12-30,,False,16,129.92
93,96,42,82,493,435,PO-wYlnPF-88817958,Delivered,117,215.87,25256.79,2024-05-02,2024-05-06,False,27,309.03
94,81,24,42,685,170,PO-voXdlF-52333944,In Transit,91,296.17,26951.47,2024-04-05,,False,15,423.05
95,144,40,38,695,40,PO-NLJLmB-49644150,In Transit,102,241.74,24657.48,2024-06-14,,False,22,314.87
96,79,34,67,790,266,PO-ksNTeI-76263311,In Transit,199,131.28,26124.72,2024-04-15,,False,27,172.28
97,232,47,69,688,224,PO-Tioujy-63738548,Canceled,161,218.63,35199.43,2024-09-01,,False,13,310.14
98,347,38,11,450,414,PO-lAKlCs-13553993,Delivered,120,151.28,18153.6,2024-12-18,2024-12-23,False,6,496.71
99,184,49,10,307,49,PO-GEXBVK-35273130,Delivered,122,46.14,5629.08,2024-07-28,2024-07-26,False,26,214.26
100,331,22,90,49,22,PO-CCaysD-50066447,In Transit,155,10.41,1613.55,2024-12-22,,False,26,193.07
101,59,8,48,842,167,PO-VZgrxc-81619564,Partially Delivered,20,251.84,5036.8,2024-03-22,2024-03-23,False,23,296.45
102,328,30,54,56,177,PO-AjSKAS-17098138,In Transit,182,160.32,29178.24,2024-12-06,,False,13,247.08
103,224,21,47,415,91,PO-ampjGM-49878814,Delivered,74,256.26,18963.24,2024-08-25,2024-08-24,False,14,199.43
104,176,38,83,715,433,PO-oGODls-76029922,In Transit,52,148.82,7738.64,2024-07-23,,False,29,254.17
105,127,38,7,969,414,PO-jKZKiK-34325022,Partially Delivered,141,153.33,21619.53,2024-05-20,2024-05-20,False,14,285.03
106,182,16,63,313,258,PO-aUakMm-48117464,Partially Delivered,148,202.34,29946.32,2024-07-05,2024-07-09,True,5,383.39
107,298,27,34,8,354,PO-AQsTHw-19129100,In Transit,169,251.3,42469.7,2024-11-19,,False,26,344.41
108,215,10,39,60,405,PO-udOvZB-15246171,In Transit,56,16.27,911.12,2024-08-20,,False,18,115.79
109,1,33,83,715,33,PO-uVlVqY-09511958,Canceled,71,175.1,12432.1,2024-01-15,,True,14,730.08
110,85,10,40,542,421,PO-eTIRqA-28113813,Canceled,130,274.29,35657.7,2024-03-31,,False,6,467.3
111,347,36,76,167,36,PO-pniGUl-75390557,Canceled,107,163.77,17523.39,2025-01-05,,False,24,97.1
112,60,2,79,179,2,PO-ZZLCgq-11485086,In Transit,185,101.86,18844.1,2024-03-20,,False,20,385.42
113,185,3,28,17,270,PO-gqVKnd-27855611,Partially Delivered,142,9.47,1344.74,2024-07-12,2024-07-17,False,9,263.63
114,79,30,82,493,114,PO-CNUzag-93886704,Delivered,198,188.66,37354.68,2024-04-15,2024-04-17,False,27,206.14
115,333,15,72,47,455,PO-ZJIYwd-79727399,Partially Delivered,19,72.19,1371.61,2024-12-17,2024-12-19,False,19,77.31
116,121,5,87,789,139,PO-RXZeks-73953825,Delivered,134,102.96,13796.64,2024-05-26,2024-05-28,False,26,69.4
117,243,16,32,791,258,PO-jIkzFq-70472148,In Transit,25,239.44,5986.0,2024-08-31,,False,1,337.68
118,53,27,83,302,354,PO-IGpwyo-10929723,Canceled,10,126.5,1265.0,2024-03-22,,False,29,50.67
119,142,31,19,580,31,PO-meBOlh-27448442,Partially Delivered,116,132.26,15342.16,2024-06-12,2024-06-10,False,22,317.63
120,195,6,2,699,283,PO-FjVEvb-89820405,In Transit,32,218.06,6977.92,2024-07-25,,False,12,248.76
121,337,47,46,297,260,PO-xTBECq-21105492,Ordered,63,61.5,3874.5,2024-12-23,,False,21,371.6
122,114,16,62,738,258,PO-sYZLuL-60547744,Canceled,35,269.83,9444.05,2024-05-12,,False,19,214.73
123,86,2,75,671,2,PO-Jfstqn-05016798,Canceled,154,74.54,11479.16,2024-04-20,,False,25,160.09
124,76,47,92,430,327,PO-CcAfdi-77040097,In Transit,44,135.08,5943.52,2024-03-24,,False,8,67.39
125,25,35,28,17,208,PO-sHeKpC-94668959,Ordered,156,9.71,1514.76,2024-02-03,,False,9,134.28
126,320,31,11,348,463,PO-rZvhhF-90178059,Partially Delivered,61,27.33,1667.13,2024-11-21,2024-11-26,False,6,487.45
127,186,14,55,670,14,PO-dreadX-37266168,Partially Delivered,166,35.05,5818.3,2024-08-01,2024-07-31,False,28,461.36
128,278,11,69,836,157,PO-zuPLXL-91112965,Ordered,108,177.21,19138.68,2024-10-17,,False,13,127.93
129,85,35,83,883,35,PO-bOKMhk-03892543,Ordered,120,28.05,3366.0,2024-04-23,,False,29,64.35
130,319,31,89,364,31,PO-IaBXyd-34513292,In Transit,117,37.16,4347.72,2024-12-04,,False,20,478.79
131,343,23,59,349,166,PO-TKtoja-13030295,Canceled,33,120.02,3960.66,2024-12-21,,False,13,104.1
132,300,42,88,539,390,PO-HJLIGE-79045525,In Transit,38,50.46,1917.48,2024-11-03,,False,8,375.47
133,90,36,27,380,72,PO-eaWigu-27366685,Delivered,35,57.67,2018.45,2024-04-20,2024-04-18,False,21,499.34
134,201,29,7,690,100,PO-KftSFJ-80901386,Ordered,39,13.27,517.53,2024-08-02,,False,14,471.19
135,257,29,57,520,100,PO-Djhnji-74793713,Ordered,57,130.67,7448.19,2024-09-15,,True,2,285.31
136,91,16,100,668,349,PO-rthYHC-97209317,Delivered,142,169.1,24012.2,2024-04-25,2024-04-29,False,25,241.1
137,185,7,12,390,338,PO-bEqVrP-87542754,Canceled,111,168.69,18724.59,2024-07-09,,False,6,408.24
138,132,46,4,832,183,PO-mqPcuA-89926485,In Transit,163,41.6,6780.8,2024-05-16,,False,5,471.19
139,181,32,13,219,343,PO-dVZToh-84004371,In Transit,69,104.22,7191.18,2024-07-05,,False,6,369.09
140,166,35,38,784,208,PO-sSdrBR-86885898,Delivered,105,177.57,18644.85,2024-07-06,2024-07-10,False,22,466.5
141,255,41,56,624,427,PO-waAfRJ-61319901,In Transit,97,138.43,13427.71,2024-09-27,,False,16,242.96
142,318,25,25,704,134,PO-vHNVtF-36783874,Ordered,91,207.21,18856.11,2024-11-21,,False,8,144.88
143,335,39,91,780,39,PO-XhCSJJ-19354092,Canceled,38,167.74,6374.12,2024-12-12,,False,12,452.31
144,68,9,80,877,246,PO-NgHCTv-28755396,In Transit,21,194.77,4090.17,2024-03-20,,True,12,382.78
145,103,22,48,198,22,PO-FkyLfK-93428289,Canceled,31,83.14,2577.34,2024-05-05,,False,23,197.94
146,147,28,48,87,99,PO-GJkKBs-81049646,In Transit,67,158.47,10617.49,2024-06-18,,False,23,465.53
147,343,23,12,40,23,PO-cjaWab-13163882,Delivered,183,30.2,5526.6,2024-12-14,2024-12-15,False,6,364.72
148,64,43,64,181,59,PO-CKkBLt-70266577,Ordered,40,58.48,2339.2,2024-03-27,,False,23,148.96
149,289,43,99,315,63,PO-rYkDJy-82625998,Delivered,101,177.51,17928.51,2024-11-08,2024-11-09,False,24,186.36
150,139,39,23,538,187,PO-oRrVsI-25064831,Ordered,23,213.04,4899.92,2024-06-06,,False,19,156.96
151,216,29,89,540,100,PO-DUqKCV-79400883,Ordered,154,102.66,15809.64,2024-08-23,,False,20,206.63
152,8,24,26,549,24,PO-wHdGFW-17998241,Delivered,40,10.84,433.6,2024-01-23,2024-01-27,False,15,314.36
153,284,10,15,46,10,PO-VCmteb-43881258,In Transit,179,90.23,16151.17,2024-10-30,,False,20,351.17
154,106,37,10,400,37,PO-DtgYMY-71673119,Delivered,111,1.67,185.37,2024-05-11,2024-05-10,False,26,296.52
155,202,11,84,948,157,PO-qxPYFJ-86784188,In Transit,110,139.6,15356.0,2024-08-03,,True,14,575.2
156,134,15,96,125,455,PO-PaaJQn-29324746,Delivered,177,299.04,52930.08,2024-05-22,2024-05-26,False,9,95.07
157,301,7,69,751,7,PO-sOHPab-86096406,Delivered,33,141.37,4665.21,2024-11-09,2024-11-12,False,13,348.75
158,258,44,6,351,64,PO-gVwMGt-59383634,Ordered,35,105.42,3689.7,2024-10-01,,False,17,177.96
159,11,20,64,171,174,PO-jObEVf-14246452,Ordered,66,112.6,7431.6,2024-02-03,,False,23,302.97
160,253,11,85,452,157,PO-EqrnDj-63585768,Canceled,38,182.9,6950.2,2024-09-19,,False,10,270.18
161,71,23,36,808,143,PO-ZRCeXm-75470443,Ordered,25,103.82,2595.5,2024-04-09,,False,29,421.3
162,74,43,97,705,43,PO-bUeXVW-94733294,Ordered,180,227.03,40865.4,2024-04-05,,False,22,490.64
163,333,28,77,636,103,PO-rbaOlB-40979113,Ordered,160,153.93,24628.8,2024-11-30,,False,2,408.03
164,234,25,56,186,275,PO-TkanuR-15919467,Canceled,176,143.54,25263.04,2024-09-06,,False,16,329.71
165,98,37,84,886,162,PO-LaeWtC-33932368,Canceled,88,268.9,23663.2,2024-04-21,,True,14,570.16
166,344,26,89,976,26,PO-uWwCCA-06176104,Delivered,65,31.67,2058.55,2024-12-19,2024-12-23,True,10,297.62
167,229,23,41,709,143,PO-ndXGlt-64211883,Delivered,173,25.06,4335.38,2024-08-19,2024-08-20,False,3,141.66
168,195,20,55,419,20,PO-QdvSgT-68208776,In Transit,97,174.93,16968.21,2024-08-10,,False,28,343.83
169,247,39,84,886,187,PO-CmUpIw-26676485,Delivered,66,257.4,16988.4,2024-10-02,2024-10-05,False,29,325.28
170,38,8,82,743,167,PO-XUDpin-25592866,Canceled,106,187.73,19899.38,2024-03-05,,False,27,256.68
171,200,9,67,561,137,PO-AZbiLE-94722438,In Transit,87,132.56,11532.72,2024-08-14,,False,27,492.31
172,92,8,90,767,8,PO-TwSABZ-53971332,Ordered,34,227.0,7718.0,2024-04-27,,False,26,280.93
173,223,49,83,229,483,PO-eZjXfR-12475792,Ordered,174,108.78,18927.72,2024-09-08,,False,29,347.61
174,12,23,56,162,322,PO-gIaUpF-86199527,Partially Delivered,56,231.75,12978.0,2024-01-28,2024-01-27,False,16,239.62
175,243,30,94,889,482,PO-TnrnrR-59199337,Ordered,83,93.93,7796.19,2024-09-02,,True,3,535.94
176,233,23,86,634,322,PO-WZbCHX-45289881,Canceled,188,191.05,35917.4,2024-09-14,,False,25,265.61
177,220,35,33,758,208,PO-fcAIZw-01639513,Canceled,47,80.7,3792.9,2024-09-05,,False,29,368.39
178,234,22,18,367,235,PO-OMUTPL-08907852,Delivered,127,46.92,5958.84,2024-09-10,2024-09-08,False,20,418.55
179,311,49,37,929,483,PO-ahuiVm-44870128,Delivered,36,255.44,9195.84,2024-11-16,2024-11-19,False,10,418.95
180,39,16,31,680,349,PO-YXGQqZ-99118664,Partially Delivered,102,183.53,18720.06,2024-03-01,2024-03-06,False,22,250.08
181,354,46,63,872,323,PO-KMXxui-47033719,In Transit,145,93.45,13550.25,2024-12-29,,False,10,72.12
182,352,10,53,37,405,PO-AzYDaF-12982833,In Transit,13,127.3,1654.9,2024-12-24,,False,7,374.96
183,361,24,30,263,24,PO-Bmljuf-64993922,Delivered,13,162.66,2114.58,2025-01-04,2025-01-05,False,9,173.5
184,196,14,42,180,14,PO-GDSqKD-82736053,Canceled,100,300.87,30087.0,2024-07-29,,False,15,56.6
185,38,1,78,956,1,PO-tKKPCO-78866583,Partially Delivered,182,223.07,40598.74,2024-02-22,2024-02-23,True,15,202.4
186,67,35,24,850,208,PO-cjOhnA-31926728,Delivered,65,46.93,3050.45,2024-03-12,2024-03-12,False,5,364.98
187,156,18,45,214,220,PO-FkERpQ-52102189,Delivered,160,309.12,49459.2,2024-06-14,2024-06-12,False,10,268.94
188,80,46,7,21,442,PO-vYqzdR-52511688,Canceled,137,195.0,26715.0,2024-04-03,,False,14,107.4
189,313,18,14,319,126,PO-oZcDHS-19820006,Ordered,107,126.55,13540.85,2024-11-11,,False,3,323.21
190,189,22,17,27,235,PO-uFhIee-53854113,In Transit,70,46.4,3248.0,2024-07-20,,False,13,334.08
191,40,35,97,800,208,PO-ekLDQo-73523737,Partially Delivered,127,83.48,10601.96,2024-02-20,2024-02-23,True,11,463.48
192,96,9,80,877,246,PO-aszvNa-02073473,Canceled,81,244.2,19780.2,2024-04-29,,False,24,161.47
193,10,5,99,105,139,PO-TPzdIa-41939798,Delivered,179,298.63,53454.77,2024-01-22,2024-01-22,True,12,357.75
194,38,42,53,293,435,PO-LVmWmo-16650443,In Transit,189,2.75,519.75,2024-02-14,,False,7,144.56
195,275,20,83,472,356,PO-PAIYEN-09990756,Partially Delivered,93,199.74,18575.82,2024-10-30,2024-10-28,False,29,140.05
196,361,44,17,572,350,PO-antyuq-09926379,Canceled,128,93.97,12028.16,2025-01-08,,False,13,94.47
197,298,23,38,651,460,PO-ngcbUA-85939167,Delivered,62,130.98,8120.76,2024-11-04,2024-11-05,True,11,260.52
198,354,45,89,976,45,PO-ObMbCp-71731198,Canceled,35,27.38,958.3,2025-01-08,,False,20,307.51
199,134,33,88,190,33,PO-UUwJxd-00585998,Ordered,10,272.98,2729.8,2024-05-21,,False,8,388.78
200,206,5,79,498,5,PO-vHQesg-59271800,Canceled,74,61.37,4541.38,2024-08-13,,False,20,54.81
201,282,10,65,526,405,PO-RrSRVH-19090884,Delivered,130,228.25,29672.5,2024-10-18,2024-10-20,False,10,118.51
202,246,5,25,258,444,PO-NHqrEm-04891489,Ordered,142,116.29,16513.18,2024-09-10,,False,8,176.39
203,194,10,44,135,405,PO-RHCLBB-62958803,In Transit,164,303.47,49769.08,2024-07-21,,True,9,382.5
204,341,20,19,50,20,PO-SEsiFU-13291525,Delivered,120,109.72,13166.4,2024-12-28,2024-12-30,False,22,168.5
205,99,12,84,753,12,PO-GbmryU-87785046,Ordered,68,288.95,19648.6,2024-05-07,,False,29,151.93
206,184,29,39,256,290,PO-wwmdpH-33267089,Delivered,141,287.14,40486.74,2024-07-20,2024-07-18,False,18,285.55
207,67,38,100,970,188,PO-iRECLh-76585477,Canceled,94,123.51,11609.94,2024-04-01,,False,25,255.34
208,67,46,49,34,442,PO-wiAGUZ-71286031,Delivered,81,40.71,3297.51,2024-03-16,2024-03-18,False,9,449.42
209,80,8,42,61,167,PO-bsSqNJ-53497254,Canceled,75,263.76,19782.0,2024-04-04,,False,15,57.01
210,121,25,57,245,134,PO-ZBtpOc-84117050,Canceled,28,57.24,1602.72,2024-05-04,,False,4,333.45
211,166,28,19,178,103,PO-SLrCDK-17527637,Ordered,132,92.41,12198.12,2024-06-25,,True,11,213.91
212,230,21,24,615,397,PO-hAcRaF-57182324,In Transit,173,108.09,18699.57,2024-08-22,,False,5,347.35
213,181,18,47,327,18,PO-TEcCfB-74337485,Delivered,194,162.0,31428.0,2024-07-13,2024-07-14,False,14,234.93
214,195,23,82,977,257,PO-GWMTxu-33121618,Canceled,134,30.07,4029.38,2024-08-09,,False,27,232.23
215,204,42,45,267,390,PO-lYODEf-45236896,Partially Delivered,165,151.96,25073.4,2024-08-01,2024-08-06,False,10,380.42
216,223,34,90,652,108,PO-ePbdIs-20527114,Delivered,137,45.91,6289.67,2024-09-05,2024-09-03,False,26,466.81
217,352,17,12,321,81,PO-iYegUV-40490609,Canceled,169,112.88,19076.72,2024-12-23,,False,6,494.83
218,50,2,10,71,240,PO-aGyMkZ-25388360,Ordered,55,105.32,5792.6,2024-03-16,,False,26,409.24
219,42,40,25,891,40,PO-JgYKni-00460690,Ordered,164,249.43,40906.52,2024-02-19,,False,8,65.76
220,198,2,69,294,121,PO-exvPxJ-63069937,In Transit,198,144.14,28539.72,2024-07-29,,False,13,406.14
221,208,37,57,245,368,PO-ibuaRO-58813560,Ordered,18,48.5,873.0,2024-07-30,,False,4,81.99
222,221,18,93,640,417,PO-SwAnYD-93081033,Ordered,174,255.56,44467.44,2024-08-29,,False,21,82.45
223,50,23,23,538,143,PO-fZOisj-88047982,Ordered,17,178.18,3029.06,2024-03-09,,False,19,100.6
224,161,26,53,880,26,PO-QHuTvv-92046538,Canceled,28,177.95,4982.6,2024-06-16,,False,7,158.46
225,297,13,54,56,13,PO-lGjayO-17348207,In Transit,47,142.77,6710.19,2024-11-05,,False,13,397.95
226,122,20,2,658,447,PO-xjfhZm-28379725,Ordered,153,302.82,46331.46,2024-05-13,,False,12,304.69
227,143,47,53,953,260,PO-blEFwu-63202556,Ordered,158,208.54,32949.32,2024-05-29,,False,7,180.04
228,184,49,21,618,483,PO-IKdtPP-68356000,Partially Delivered,87,205.65,17891.55,2024-07-18,2024-07-17,False,16,89.67
229,176,2,42,873,2,PO-ySyNuF-88758176,Partially Delivered,96,51.88,4980.48,2024-07-01,2024-06-30,True,7,608.3
